667-ERJ-3GEYJ151V;;Widerstand;150?;0603;0
667-ERJ-3GEYJ102V;;Widerstand;1k?;0603;0
667-ERJ-3GEYJ103V;;Widerstand;10k?;0603;0
667-ERJ-3GEYJ220V;;Widerstand;22?;0603;0
667-ERJ-3GEYJ104V;;Widerstand;100k?;0603;0
647-UWT1V101MCL1S;;Elektrolytkondensator;100uF  35V;6.3 x 5.4;0
667-EEE-FK0J331AP;;Elektrolytkondensator;330uF  6,3V;SMD d = 8mm;0
77-VJ0603V105MXQCBC;;Keramikkondensator;1uF;0603;0
77-VJ0603Y472MXJCBC;;Keramikkondensator;4.7nF;0603;0
77-VJ0603A180FXACBC;;Keramikkondensator;18pF;0603;0
581-06035C104KAT2A;;Keramikkondensator;100nF  50V;0603;0
963-LK1608100K-T;;InduktivitÑt;10uH;0603;0
710-742863147;;Ferritperle;470? @ 100MHz;0603;0
710-742792608;;Ferritperle;47? @ 100MHz;0603;0
576-2920L050;;Polisicherung ;500mA;2920;0
520-CSM1600-20-X;;Quarz;16MHz;HC49;0
520-ECS-3276-18-9X;;Quarz;32.768kHz;TC38;0
512-BSS138;;FET;BSS138;SOT-23;0
511-BAS70KFILM;;Schotkydiode;BAS70KFILM;SOD-523;0
511-STPS340U;;Schotkydiode;STPS340U;SMB;0
720-LHN974-KN-1;;LED;Rot;1206;0
630-ASMT-YTB7-0AA02;;LED;RGB;PLCC6;0
859-LTST-C191KGKT;;LED;GrÅn;0603;0
859-LTST-C194KSKT;;LED;Gelb;0603;0
556-ATMEGA2560V8AU;;Mikrokontroller;Atmega 2560;TQFP100;0
595-MAX232DG4;;Pegelwandler;MAX232DG4;SOIC-16;0
595-SN74HC240PWR;;Tristate Bustreiber;SN74HC240PW;TSSOP-20;0
595-CD74HC14PWR;;Schmittrigger;CD74HC14PW;TSSOP-14;0
556-ATMEGA32U2-AU;;Mikrokontroller;ATMEGA32U2;32TQFP;0
517-30306-6002HB;;Stiftwanne;2x3 pin;2.54mm;0
517-9611046404AR;;Stiftleiste;1x4 pin;2.54mm;0
517-9611026404AR;;Stiftleiste;1x2 pin;2.54mm;0
517-9611036404AR;;Stiftleiste;1x3 pin;2.54mm;0
517-9612066404AR;;Stiftleiste;2x3 pin;2.54mm;0
517-9612046404AR;;Stiftleiste;2x2 pin;2.54mm;0
517-9612086404AR;;Stiftleiste;2x4 pin;2.54mm;0
517-30310-6002;;Stiftwanne;2x5 pin;2.54mm;0
790-EADIP203J-4NLW;;LCD 4x40 Zeichen;EADIP203-4;P203;0
517-9691020000DA;;Jumper;2 Pin;2.54mm;0
